epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,1419.12,1.00972,1.40784,0.95314,0.05453,0.55677,0.20765,0.12746,0.02779,0.73355,1.08728,0.77877,0.02977,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,1443.28,0.99623,1.42451,0.95068,0.05414,0.49752,0.19583,0.12972,0.0284,0.72897,1.07835,0.77346,0.02812,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,1467.72,1.01666,1.40175,0.95884,0.05278,0.49256,0.2053,0.13178,0.02942,0.70591,1.04589,0.76909,0.02636,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,1491.91,0.99706,1.40371,0.94884,0.05454,0.57974,0.19008,0.12544,0.02729,0.7195,1.10045,0.77247,0.02819,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,1515.94,0.99467,1.39798,0.95044,0.05416,0.41972,0.21619,0.13548,0.03095,0.7054,1.04576,0.77273,0.02775,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,1539.91,1.00325,1.40434,0.94708,0.05485,0.42881,0.20225,0.12082,0.0251,0.72774,1.07378,0.77251,0.02727,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,1564.18,0.99775,1.3767,0.94684,0.05319,0.41579,0.20844,0.13585,0.03109,0.71908,1.06254,0.76997,0.02931,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,1588.73,0.98485,1.38401,0.94693,0.05263,0.67961,0.18005,0.12946,0.02717,0.72996,1.07054,0.78586,0.03437,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,1613.44,0.98658,1.38675,0.95069,0.05615,0.4703,0.21993,0.12606,0.02721,0.69928,1.04373,0.76786,0.02746,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,1637.57,0.97516,1.40095,0.94279,0.05349,0.49722,0.20485,0.13129,0.0269,0.73409,1.10402,0.76952,0.02517,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,1661.63,0.98688,1.38424,0.94228,0.05152,0.39463,0.21622,0.13483,0.02971,0.71315,1.05012,0.76874,0.02587,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
